batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R
677587,Brayan Rocchio,L,CLE,3,Logan Gilbert,R,669302,824421,SEA @ CLE,4:10 PM,27/06,Final,0.6270784829701447,-250,184,,True,0011011011,live,0,0,0.0,0.20271551097685192,0.31073660703428496,0.2977018732883066,20,1,0.004532317393589058,0.987,66.4,B,0.30206112295664533,4.401686171861081,0.43880974681620344,15,6,0,0.26136363636363635,0.2658959537572254
643289,Mauricio Dubón,R,ATL,6,Logan Webb,R,657277,823207,ATL @ SF,6:05 PM,27/06,Game Over,0.6270784829701447,,,,True,1111011111,live,0,0,0.0,0.3066841629652899,0.3510942387492145,0.3510815484062269,20,1,-0.018858560794044688,0.994,65.9,B,0.2724867724867725,3.706642395064698,0.41559301864042303,12,6,0,0.27692307692307694,0.25806451612903225
802415,Chandler Simpson,L,TB,5,Jose Cabrera,R,703615,822960,AZ @ TB,3:10 PM,27/06,Final,0.6270784829701447,-243,180,,True,1001111011,live,0,0,0.0,0.20074029387036288,0.2667903902873041,0.05993537931132849,20,2,0.13952464788732394,0.96,61.5,C,0.2903225806451613,,,1,6,0,0.15625,0.29577464788732394
694388,Joey Loperfido,L,HOU,5,Framber Valdez,L,664285,824257,HOU @ DET,10:10 AM,27/06,Final,0.6269580095122632,-143,108,,False,0111001100,live,0,0,0.0,0.25873731452508936,0.32349799211722113,0.2988205505749476,20,1,-0.23170731707317074,1.004,48.5,D,0.28153310104529616,2.1976084298266216,0.4374103267062409,16,5,0,0.0,0.23170731707317074
572233,Christian Walker,R,HOU,4,Framber Valdez,L,664285,824257,HOU @ DET,10:10 AM,27/06,Final,0.6269580095122632,-217,161,63.0,True,0110010010,live,2,0,0.0,0.14769714377341783,0.2072849907867221,0.35685340723639875,20,1,-0.00457875457875459,1.004,48.5,D,0.28153310104529616,2.1976084298266216,0.4374103267062409,16,5,0,0.2261904761904762,0.23076923076923078
657041,Lane Thomas,R,KC,4,Davis Martin,R,663436,824581,KC @ CWS,1:10 PM,27/06,Final,0.6265042500632808,-189,141,,False,1111110000,live,0,0,0.0,0.1742982243779893,0.34509954572210355,0.3503981143499341,20,1,-0.0013049719431032225,0.968,52.9,C,0.2949376375641966,3.320496135427762,0.45362944294774676,15,6,0,0.21649484536082475,0.21518987341772153
624413,Pete Alonso,R,BAL,3,Foster Griffin,L,656492,824825,WSH @ BAL,4:05 PM,27/06,Final,0.6254299194098859,-256,189,67.0,True,0101011010,live,0,0,0.0,0.27477722448524367,0.4423514429896401,0.42984080990422335,20,1,0.02935490435490437,1.044,75.3,B,0.30425963488843816,4.441073460567168,0.39095144401749315,16,5,0,0.27472527472527475,0.24537037037037038
642715,Willy Adames,R,SF,5,Bryce Elder,R,693821,823207,ATL @ SF,6:05 PM,27/06,Game Over,0.6254126864420981,-124,-107,,True,0111001011,live,0,0,0.0,0.23127543206198556,0.2537241581009313,0.2896589236351774,20,1,0.07386706120883335,0.994,57.9,C,0.27187948350071733,2.5552562100309038,0.396053361304098,16,6,0,0.17721518987341772,0.2510822510822511
695506,Jac Caglianone,L,KC,3,Davis Martin,R,663436,824581,KC @ CWS,1:10 PM,27/06,Final,0.6253970303641158,-179,134,,False,0111101001,live,2,1,0.5,0.29416770131958153,0.5085934095722364,0.6200765711168137,20,1,-0.027751196172248804,0.968,52.9,C,0.2949376375641966,3.320496135427762,0.45362944294774676,15,6,0,0.2909090909090909,0.2631578947368421
646240,Rafael Devers,L,SF,4,Bryce Elder,R,693821,823207,ATL @ SF,6:05 PM,27/06,Game Over,0.6252370978149587,-133,100,51.0,True,1111001101,live,0,0,0.0,0.2193609454690798,0.33593203555547685,0.5668991680581944,20,1,0.04888888888888887,0.994,57.9,C,0.27187948350071733,2.5552562100309038,0.396053361304098,16,6,0,0.2,0.24888888888888888
805367,Chase Meidroth,R,CWS,5,Michael Wacha,R,608379,824581,KC @ CWS,1:10 PM,27/06,Final,0.6237066999127796,-178,134,,True,0110101011,live,4,1,0.25,0.28973821473799727,0.33439705996441266,0.23853392331687093,20,1,0.02229950900163663,0.968,68.3,B,0.2728512960436562,2.8469450204465736,0.3460482023806091,16,5,0,0.25961538461538464,0.28191489361702127
666182,Bo Bichette,R,NYM,3,Tim Mayza,L,641835,823609,PHI @ NYM,1:10 PM,27/06,Final,0.6207854029673766,-209,155,,True,1101011111,live,0,0,0.0,0.3344173562299713,0.3908989706776036,0.3908871357344252,20,1,0.05960369050115327,0.949,62.1,C,0.29347826086956524,71.07755497818219,0.4280194252748154,20,2,0,0.3026315789473684,0.24302788844621515
701398,Sal Stewart,R,CIN,2,Jared Jones,R,683003,823364,CIN @ PIT,1:05 PM,27/06,Final,0.6207854029673766,-257,189,,True,1110110011,live,0,0,0.0,0.234748915668583,0.31122019309853066,0.45334907252723183,20,1,0.04871100982765986,1.013,55.6,C,0.2976878612716763,2.4471126697107555,0.388375247513685,5,6,0,0.2033898305084746,0.25210084033613445
691026,Masyn Winn,R,STL,6,Ryan Gusto,R,687473,823038,MIA @ STL,4:15 PM,27/06,Final,0.6201925096810094,,,,True,0111111110,live,0,0,0.0,0.24396918193753223,0.32252582753079007,0.38572553128439796,20,1,-0.05217755443886096,1.031,35.5,D,0.26129032258064516,3.121677537665307,0.5228086668274909,6,6,0,0.2833333333333333,0.23115577889447236
592626,Joc Pederson,L,TEX,1,Dylan Cease,R,656302,822794,TEX @ TOR,12:07 PM,27/06,Final,0.6201925096810094,-175,131,,False,1100001111,live,0,0,0.0,0.26524766778622016,0.36624040312637796,0.6042669717636754,20,2,0.2548076923076923,0.995,79.8,B,0.32471264367816094,3.3627910456345953,0.3323290795545291,14,5,0,0.0,0.2548076923076923
575929,Willson Contreras,R,BOS,4,Gerrit Cole,R,543037,824745,NYY @ BOS,10:10 AM,27/06,Final,0.6183511245258234,-200,149,,True,1010011101,live,0,0,0.0,0.2401581565547554,0.32755302987432283,0.5464900452919256,20,1,0.0069960022844088865,1.063,76.2,B,0.2937625754527163,3.208738604287433,0.3624737821686833,6,5,0,0.27941176470588236,0.28640776699029125
691176,Jasson Domínguez,L,NYY,5,Jake Bennett,L,687562,824745,NYY @ BOS,10:10 AM,27/06,Final,0.6182898738327832,-225,167,,False,1011101111,live,0,0,0.0,0.24321458293290152,0.36221430193505794,0.44192301683573604,20,1,-0.013323983169705483,1.063,80.3,A,0.2531328320802005,6.491364974401356,0.3240613545518565,5,5,0,0.22580645161290322,0.2391304347826087
694212,Samuel Basallo,L,BAL,4,Foster Griffin,L,656492,824825,WSH @ BAL,4:05 PM,27/06,Final,0.6182898738327832,-263,193,,True,1110011010,live,0,0,0.0,0.1699834147799805,0.3133557173177539,0.3928334408009729,20,1,0.016666666666666663,1.044,75.3,B,0.30425963488843816,4.441073460567168,0.39095144401749315,16,5,0,0.26666666666666666,0.25
695657,Colson Montgomery,L,CWS,4,Michael Wacha,R,608379,824581,KC @ CWS,1:10 PM,27/06,Final,0.6182898738327832,-171,128,,True,0110000111,live,6,3,0.5,0.19794943985771235,0.40480598775215,0.47711782331385805,20,1,-0.0879319955406912,0.968,68.3,B,0.2728512960436562,2.8469450204465736,0.3460482023806091,16,5,0,0.2898550724637681,0.20192307692307693
680728,Adrian Del Castillo,L,AZ,5,Cole Sulser,R,642121,822960,AZ @ TB,3:10 PM,27/06,Final,0.6182898738327832,,,,False,0100001101,live,0,0,0.0,0.15829768513361814,0.3298772228747108,0.5126169038317809,20,5,0.0,0.96,60.0,C,0.24475524475524477,7.388372785592618,0.3431891995012669,20,3,0,,0.18796992481203006
669127,Shea Langeliers,R,ATH,3,Reid Detmers,L,672282,824015,ATH @ LAA,6:38 PM,27/06,In Progress,0.6182898738327832,210,-285,25.0,False,1101100011,live,1,0,0.0,0.18221625548065956,0.2894609600096045,0.3614568232425473,20,1,0.007287757654864835,0.979,82.9,A,0.3017868960953011,3.622753639053893,0.37352276713138877,16,6,0,0.2716049382716049,0.2643171806167401
547180,Bryce Harper,L,PHI,3,Christian Scott,R,681035,823609,PHI @ NYM,1:10 PM,27/06,Final,0.6178877560310472,-206,154,,True,0101111011,live,0,0,0.0,0.3467886236092615,0.41277720964049974,0.505213358414659,20,1,0.16268702602992413,0.949,55.2,C,0.26273458445040215,2.183245921234023,0.31001956533919356,9,16,0,0.18487394957983194,0.3475609756097561
642086,Dominic Smith,L,ATL,5,Logan Webb,R,657277,823207,ATL @ SF,6:05 PM,27/06,Game Over,0.6164583768527668,,,,False,0010100101,live,0,0,0.0,0.16463936126617593,0.2061305083868637,0.2787889118393998,20,1,0.23333333333333334,0.994,65.9,B,0.2724867724867725,3.706642395064698,0.41559301864042303,12,6,0,0.06666666666666667,0.3
702332,Caleb Durbin,R,BOS,6,Gerrit Cole,R,543037,824745,NYY @ BOS,10:10 AM,27/06,Final,0.614201450694149,-201,150,,True,0111111011,live,0,0,0.0,0.35502352238796636,0.2940058182905042,0.2919503317014032,20,1,-0.035763546798029566,1.063,76.2,B,0.2937625754527163,3.208738604287433,0.3624737821686833,6,5,0,0.25862068965517243,0.22285714285714286
