batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,platoon_adv,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener
521692,Salvador Pérez,R,KC,4,Griffin Jax,R,643377,822965,KC @ TB,3:40 PM,24/06,Final,0.6531108378685025,-183,137,,False,11101,live,0,0,0.0,0.1972324546858426,0.2758529809103371,0.449087936960022,20,1,0,0.955,46.9,D,0.3024193548387097,2.7726898873233266,0.4444199716763514,20,5,0
691026,Masyn Winn,R,STL,6,Mitch Bratt,R,683352,823041,AZ @ STL,4:45 PM,24/06,Final,0.6531108378685025,-215,160,,True,11111,live,0,0,0.0,0.26369395018133673,0.36619632978579253,0.44257751956880637,20,2,0,1.035,,,,,,0,0,0
571448,Nolan Arenado,R,AZ,5,Matthew Liberatore,L,669461,823041,AZ @ STL,4:45 PM,24/06,Final,0.6531108378685025,-192,143,,True,10111,live,0,0,0.0,0.1762844795690824,0.2642463599506538,0.29771269875423306,20,1,1,1.035,31.3,F,0.27217391304347827,2.8539683461161713,0.4652872878082274,14,6,0
701807,Carson Benge,L,NYM,1,Shota Imanaga,L,684007,823611,CHC @ NYM,4:10 PM,24/06,Final,0.6508196879428492,,,,False,11111,live,0,0,0.0,0.26179425659070144,0.3982043457021776,0.39781659716563555,20,1,0,0.935,80.1,A,0.29451038575667654,3.723167099833216,0.3673002546921191,15,9,0
683002,Gunnar Henderson,L,BAL,2,José Soriano,R,667755,824018,BAL @ LAA,1:07 PM,24/06,Final,0.6508196879428492,-249,184,,False,10111,live,0,0,0.0,0.27877930227081765,0.2974446386022269,0.5217780974170722,20,1,1,0.975,55.5,C,0.3046495489243581,1.927563769703153,0.385799843868377,15,5,0
681481,Kerry Carpenter,L,DET,3,Ryan Weathers,L,677960,824259,NYY @ DET,3:40 PM,24/06,Final,0.650766946418973,,,,False,10010,live,0,0,0.0,0.232680585262635,0.3058452591351991,0.5258316688412343,20,1,0,1.0,73.8,B,0.3139083139083139,3.9728273292882963,0.4146208819511279,14,6,0
608841,Joey Meneses,R,ATH,6,Tyler Mahle,R,641816,823208,ATH @ SF,6:45 PM,24/06,Final,0.650766946418973,,,,False,10,live,0,0,0.0,,,,2,1,0,1.005,55.5,C,0.2781799379524302,2.4643903776138045,0.3703496417261045,11,29,0
686681,Michael Massey,L,KC,5,Griffin Jax,R,643377,822965,KC @ TB,3:40 PM,24/06,Final,0.650766946418973,-129,-103,,True,01101,live,0,0,0.0,0.25585289101845565,0.27938672369937045,0.2937509109339909,20,1,1,0.955,46.9,D,0.3024193548387097,2.7726898873233266,0.4444199716763514,20,5,0
608324,Alex Bregman,R,CHC,4,Sean Manaea,L,640455,823611,CHC @ NYM,4:10 PM,24/06,Final,0.650766946418973,,,63.0,False,00110,live,1,0,0.0,0.19504548379687983,0.22019620172717028,0.2562745614301255,20,1,1,0.935,54.8,C,0.2837696335078534,3.3379678625663693,0.44394897096913893,16,6,0
502671,Paul Goldschmidt,R,NYY,1,Tarik Skubal,L,669373,824259,NYY @ DET,3:40 PM,24/06,Final,0.6491064136702666,-214,159,,True,01011,live,0,0,0.0,0.2960720545325313,0.26622205673982824,0.3056328365893613,20,1,1,1.0,63.0,C,0.30949105914718017,6.5222475653200105,0.4177762980272776,8,5,0
700932,Kyle Manzardo,L,CLE,4,Erick Fedde,R,607200,824583,CLE @ CWS,11:10 AM,24/06,Final,0.6490749349010623,-203,151,,True,01100,live,0,0,0.0,0.2535726222769474,0.30772295639298664,0.4182912448743647,20,1,1,0.98,47.2,D,0.2473469387755102,1.9573349475283228,0.3719106774452498,15,5,0
661388,William Contreras,R,MIL,4,Rhett Lowder,R,695076,824500,MIL @ CIN,4:10 PM,24/06,Final,0.6490749349010623,,,,True,01101,live,0,0,0.0,0.27729442850701963,0.32140949402180197,0.5849762315081339,20,1,0,1.0,33.8,F,0.26944140197152244,1.1878110803629596,0.4274294256980982,11,5,0
695681,Christian Moore,R,LAA,5,Trey Gibson,R,694346,824018,BAL @ LAA,1:07 PM,24/06,Final,0.6490749349010623,,,,True,1011,live,0,0,0.0,,,,4,1,0,0.975,34.9,F,0.27789473684210525,1.243684110198587,0.41962768531040756,6,5,0
